en,fr,it,de,es,ko,kana
None,???,Niente,Nichts,Ningún objeto,없음,なし
Master Balls,Master Balls,Master Ball,Meisterbälle,Master Balls,마스터볼,マスターボール
Ultra Balls,Hyper Balls,Ultra Ball,Hyperbälle,Ultra Balls,하이퍼볼,ハイパーボール
Great Balls,Super Balls,Mega Ball,Superbälle,Super Balls,수퍼볼,スーパーボール
Poké Balls,Poké Balls,Poké Ball,Pokébälle,Poké Balls,몬스터볼,モンスターボール
Safari Balls,Safari Balls,Safari Ball,Safaribälle,Safari Balls,사파리볼,サファリボール
Net Balls,Filet Balls,Rete Ball,Netzbälle,Malla Balls,넷트볼,ネットボール
Dive Balls,Scuba Balls,Sub Ball,Tauchbälle,Buceo Balls,다이브볼,ダイブボール
Nest Balls,Faiblo Balls,Minor Ball,Nestbälle,Nido Balls,네스트볼,ネストボール
Repeat Balls,Bis Balls,Bis Ball,Wiederbälle,Acopio Balls,리피드볼,リピートボール
Timer Balls,Chrono Balls,Timer Ball,Timerbälle,Turno Balls,타이마볼,タイマーボール
Luxury Balls,Luxe Balls,Chic Ball,Luxusbälle,Lujo Balls,럭셔리볼,ゴージャスボール
Premier Balls,Honor Balls,Premier Ball,Premierbälle,Honor Balls,프레미어볼,プレミアボール
Dusk Balls,Sombre Balls,Scuro Ball,Finsterbälle,Ocaso Balls,다크볼,ダークボール
Heal Balls,Soin Balls,Cura Ball,Heilbälle,Sana Balls,힐볼,ヒールボール
Quick Balls,Rapide Balls,Velox Ball,Flottbälle,Veloz Balls,퀵볼,クイックボール
Cherish Balls,Mémoire Balls,Pregio Ball,Jubelbälle,Gloria Balls,프레셔스볼,プレシャスボール
Potions,Potions,Pozioni,Tränke,Pociones,상처약,キズぐすり
Antidotes,Antidotes,Antidoti,Gegengifte,Antídotos,해독제,どくけし
Burn Heals,Anti-Brûle,Antiscottatura,Feuerheiler,Antiquemar,화상치료제,やけどなおし
Ice Heals,Antigels,Antigelo,Eisheiler,Antihielos,얼음상태치료제,こおりなおし
Awakenings,Réveils,Sveglie,Aufwecker,Despertar,잠깨는약,ねむけざまし
Paralyze Heals,Anti-Para,Antiparalisi,Para-Heiler,Antiparalizadores,마비치료제,まひなおし
Full Restores,Guérisons,Ricariche totali,Top-Genesungen,Restaurar Todo,회복약,かいふくのくすり
Max Potions,Potions Max,Pozioni Max,Top-Tränke,Pociones Máximas,풀회복약,まんたんのくすり
Hyper Potions,Hyper Potions,Iperpozioni,Hypertränke,Hiperpociones,고급상처약,すごいキズぐすり
Super Potions,Super Potions,Superpozioni,Supertränke,Superpociones,좋은상처약,いいキズぐすり
Full Heals,Total Soins,Cure totali,Hyperheiler,Curas Totales,만병통치제,なんでもなおし
Revives,Rappels,Revitalizzanti,Beleber,Revivir,기력의조각,げんきのかけら
Max Revives,Rappels Max,Revitalizz. Max,Top-Beleber,Revivir Máximos,기력의덩어리,げんきのかたまり
Fresh Waters,Eaux Fraîches,Acqua fresca,Tafelwässer,Aguas Frescas,맛있는물,おいしいみず
Soda Pops,Sodas Cool,Gassose,Sprudel,Refrescos,미네랄사이다,サイコソーダ
Lemonades,Limonades,Lemonsucchi,Limonaden,Limonadas,후르츠밀크,ミックスオレ
Moomoo Milks,Laits Meumeu,Latte Mumu,Kuhmuh-Milch,Leches Mu-mu,튼튼밀크,モーモーミルク
Energy Powders,Poudrénergies,Polvenergie,Energiestäube,Polvos Energía,힘의가루,ちからのこな
Energy Roots,Racinénergies,Radicenergie,Kraftwurzeln,Raíces Energía,힘의뿌리,ちからのねっこ
Heal Powders,Poudres Soin,Polvocure,Heilpuder,Polvos Curación,만능가루,ばんのうごな
Revival Herbs,Herbes Rappel,Vitalerbe,Vitalkräuter,Hierbas Revivir,부활초,ふっかつそう
Ethers,Huiles,Etere,Äther,Éteres,PP에이드,ピーピーエイド
Max Ethers,Huiles Max,Etere Max,Top-Äther,Éteres Máximos,PP회복,ピーピーリカバー
Elixirs,Élixirs,Elisir,Elixiere,Elixires,PP에이더,ピーピーエイダー
Max Elixirs,Élixirs Max,Elisir Max,Top-Elixiere,Elixires Máximos,PP맥스,ピーピーマックス
Lava Cookies,Lava Cookies,Lavottini,Lavakekse,Galletas Lava,용암전병,フエンせんべい
Berry Juices,Jus de Baie,Succodibacca,Beerensäfte,Zumos de Baya,나무열매쥬스,きのみジュース
Sacred Ashes,Cendres Sacrées,Ceneremagica,Zauberaschen,Cenizas Sagradas,성스러운분말,せいなるはい
HP Ups,PV Plus,PS-Su,KP-Plus,Más PS,맥스업,マックスアップ
Proteins,Protéines,Proteine,Proteine,Proteínas,타우린,タウリン
Irons,Fers,Ferro,Eisen,Hierros,사포닌,ブロムヘキシン
Carbos,Carbones,Carburante,Carbon,Carburantes,알칼로이드,インドメタシン
Calciums,Calciums,Calcio,Kalzium,Calcios,리보플라빈,リゾチウム
Rare Candies,Super Bonbons,Caramelle rare,Sonderbonbons,Caramelos Raros,이상한사탕,ふしぎなアメ
PP Ups,PP Plus,PP-Su,AP-Plus,Más PP,포인트업,ポイントアップ
Zincs,Zincs,Zinco,Zink,Zincs,키토산,キトサン
PP Maxes,PP Max,PP-Max,AP-Tops,PP Máximos,포인트맥스,ポイントマックス
Old Gateaux,Vieux Gâteaux,Dolci Gateau,Spezialitäten,Barritas Plus,숲의양갱,もりのヨウカン
Guard Specs.,Garde-Stats,Superguardie,Megablocks,Protección X,이펙트가드,エフェクトガード
Dire Hits,Muscles +,Supercolpi,Angriffplus,Crítico X,크리티컬커터,クリティカット
X Attacks,Attaques +,Attacchi X,X-Angriff,Ataque X,플러스파워,プラスパワー
X Defenses,Défenses +,Difese X,X-Verteidigung,Defensa X,디펜드업,ディフェンダー
X Speeds,Vitesses +,Velocità X,X-Initiative,Velocidad X,스피드업,スピーダー
X Accuracies,Précisions +,Precisioni X,X-Genauigkeit,Precisión X,잘-맞히기,ヨクアタール
X Sp. Atks,Atq. Spé. +,Att. Speciali X,X-Sp.-Ang.,Ataque Especial X,스페셜업,スペシャルアップ
X Sp. Defs,Déf. Spé. +,Dif. Speciali X,X-Sp.-Vert.,Defensa Especial X,스페셜가드,スペシャルガード
Poké Dolls,Poké Poupées,Poké Bambole,Poképuppen,Poké Muñecos,삐삐인형,ピッピにんぎょう
Fluffy Tails,Queues Skitty,Code Skitty,Eneco-Ruten,Colas Skitty,에나비꼬리,エネコのシッポ
Blue Flutes,Flûtes Bleues,Flauti Blu,Blaue Flöten,Flautas Azules,파랑비드로,あおいビードロ
Yellow Flutes,Flûtes Jaunes,Flauti Gialli,Gelbe Flöten,Flautas Amarillas,노랑비드로,きいろビードロ
Red Flutes,Flûtes Rouges,Flauti Rossi,Rote Flöten,Flautas Rojas,빨강비드로,あかいビードロ
Black Flutes,Flûtes Noires,Flauti Neri,Schwarze Flöten,Flautas Negras,검정비드로,くろいビードロ
White Flutes,Flûtes Blanches,Flauti Bianchi,Weiße Flöten,Flautas Blancas,하양비드로,しろいビードロ
Shoal Salts,Sels Tréfonds,Sale Ondoso,Küstensalze,Sales Cardumen,여울소금,あさせのしお
Shoal Shells,CoquillesTréfonds,Gusciondosi,Küstenschalen,Conchas Cardumen,여울조개껍질,あさせのかいがら
Red Shards,Tessons Rouges,Cocci Rossi,Purpurstücke,Partes Rojas,빨강조각,あかいかけら
Blue Shards,Tessons Bleus,Cocci Blu,Indigostücke,Partes Azules,파랑조각,あおいかけら
Yellow Shards,Tessons Jaunes,Cocci Gialli,Gelbstücke,Partes Amarillas,노랑조각,きいろいかけら
Green Shards,Tessons Verts,Cocci Verdi,Grünstücke,Partes Verdes,초록조각,みどりのかけら
Super Repels,Super Repousses,Superrepellenti,Superschutze,Superrepelentes,실버스프레이,シルバースプレー
Max Repels,Repousses Max,Repellenti Max,Top-Schutze,Repelentes Máximos,골드스프레이,ゴールドスプレー
Escape Ropes,Cordes Sortie,Funi di fuga,Fluchtseile,Cuerdas Huida,동굴탈출로프,あなぬけのヒモ
Repels,Repousses,Repellenti,Schutze,Repelentes,벌레회피스프레이,むしよけスプレー
Sun Stones,Pierres Soleil,Pietresolari,Sonnensteine,Piedras Solares,태양의돌,たいようのいし
Moon Stones,Pierres Lune,Pietrelunari,Mondsteine,Piedras Lunares,달의돌,つきのいし
Fire Stones,Pierres Feu,Pietrefocaie,Feuersteine,Piedras Fuego,불꽃의돌,ほのおのいし
Thunder Stones,Pierres Foudre,Pietretuono,Donnersteine,Piedras Trueno,천둥의돌,かみなりのいし
Water Stones,Pierres Eau,Pietreidriche,Wassersteine,Piedras Agua,물의돌,みずのいし
Leaf Stones,Pierres Plante,Pietrefoglia,Blattsteine,Piedras Hoja,리프의돌,リーフのいし
Tiny Mushrooms,Petits Champis,Minifunghi,Minipilze,Minisetas,작은버섯,ちいさなキノコ
Big Mushrooms,Gros Champis,Grandi Funghi,Riesenpilze,Setas Grandes,큰버섯,おおきなキノコ
Pearls,Perles,Perle,Perlen,Perlas,진주,しんじゅ
Big Pearls,Grandes Perles,Grandi Perle,Riesenperlen,Perlas Grandes,큰진주,おおきなしんじゅ
Stardusts,Poussières Étoiles,Polvostella,Sternenstäube,Polvos Estelares,별의모래,ほしのすな
Star Pieces,Morceaux d’Étoiles,Pezzi Stella,Sternenstücke,Trozos Estrella,별의조각,ほしのかけら
Nuggets,Pépites,Pepite,Nuggets,Pepitas,금구슬,きんのたま
Heart Scales,Écailles Cœur,Squame Cuore,Herzschuppen,Escamas Corazón,하트비늘,ハートのウロコ
Honey,Miels,Miele,Honige,Mieles,달콤한꿀,あまいミツ
Growth Mulch,Fertipousses,Fertilrapido,Wachsmulche,Abonos Rápidos,무럭무럭비료,すくすくこやし
Damp Mulch,Fertihumides,Fertilidro,Feuchtmulche,Abonos Lentos,축축이비료,じめじめこやし
Stable Mulch,Fertistables,Fertilsaldo,Stabilmulche,Abonos Fijadores,오래오래비료,ながながこやし
Gooey Mulch,Fertiglus,Fertilcolla,Neumulche,Abonos Brote,끈적끈적비료,ねばねばこやし
Root Fossils,Fossiles Racines,Radifossili,Wurzelfossilien,Fósiles Raíz,뿌리화석,ねっこのカセキ
Claw Fossils,Fossiles Griffes,Fossilunghia,Klauenfossilien,Fósiles Garra,발톱화석,ツメのカセキ
Helix Fossils,Nautiles,Helixfossili,Helixfossilien,Fósiles Hélix,조개화석,かいのカセキ
Dome Fossils,Fossiles Dômes,Domofossili,Domfossilien,Fósiles Domo,껍질화석,こうらのカセキ
Old Ambers,Vieux Ambres,Ambre antiche,Altbernsteine,Ámbares Viejos,비밀의호박,ひみつのコハク
Armor Fossils,Fossiles Armures,Fossilscudo,Panzerfossilien,Fósiles Coraza,방패의화석,たてのカセキ
Skull Fossils,Fossiles Crânes,Fossilcranio,Kopffossilien,Fósiles Cráneo,두개의화석,ずがいのカセキ
Rare Bones,Os Rares,Ossi Rari,Steinknochen,Huesos Raros,귀중한뼈,きちょうなホネ
Shiny Stones,Pierres Éclat,Pietrebrillo,Leuchtsteine,Piedras Día,빛의돌,ひかりのいし
Dusk Stones,Pierres Nuit,Neropietre,Finstersteine,Piedras Noche,어둠의돌,やみのいし
Dawn Stones,Pierres Aube,Pietralbori,Funkelsteine,Piedras Alba,각성의돌,めざめいし
Oval Stones,Pierres Ovales,Pietreovali,Ovale Steine,Piedras Ovales,동글동글돌,まんまるいし
Odd Keystones,Clés de Voûte,Roccianime,Spiritkerne,Piedras Espíritu,쐐기돌,かなめいし
Griseous Orbs,Orbes Platinés,Grigiosfere,Platinum-Orbs,Griseosferas,백금옥,はっきんだま
Tea,Thés,Tè,Tees,Tés,차,おちゃ
???,,???,???,(?),???,？？？
Autographs,Dédicaces de Bob,Autografi,Autogramme,Autógrafos,마티스의사인,マチスのサイン
Douse Drives,Modules Aqua,Idromoduli,Aquamodule,HidroROM,아쿠아카세트,アクアカセット
Shock Drives,Modules Choc,Voltmoduli,Blitzmodule,FulgoROM,번개카세트,イナズマカセット
Burn Drives,Modules Pyro,Piromoduli,Flammenmodule,PiroROM,블레이즈카세트,ブレイズカセット
Chill Drives,Modules Cryo,Gelomoduli,Gefriermodule,CrioROM,프리즈카세트,フリーズカセット
???,,???,???,(?),???,？？？
Pokémon Box Links,Boîtes Pokémon,Box Pokémon,Pokémon-Boxen,Cajas de Pokémon,포켓몬 박스,ポケモンボックス
Medicine Pockets,Trousses de Soins,Tasche rimedi,Medizintaschen,Botiquines,회복포켓,かいふくポケット
TM Cases,Boîtes CT,Porta MT,TM-Boxen,Estuches de MT,기술머신케이스,わざマシンケース
Candy Jars,Bonbonnières,Portacaramelle,Bonbongläser,Tarros de Caramelos,사탕보틀,アメボトル
Power-Up Pockets,Poches à Renforts,Tasche potenziam.,Stärkungstaschen,Bolsillos Mejoras,강화포켓,きょうかポケット
Clothing Trunks,Malles à Costumes,Valigie vestiti,Klamottenkoffer,Maletas,옷갈아입기트렁크,おきがえトランク
Catching Pockets,Poches de Capture,Tasche cattura,Fangtaschen,Bolsillos Captura,포획포켓,ほかくポケット
Battle Pockets,Poches de Combat,Tasche lotta,Kampftaschen,Bolsillos Combate,배틀포켓,バトルポケット
???,,???,???,(?),???,？？？
???,,???,???,(?),???,？？？
???,,???,???,(?),???,？？？
???,,???,???,(?),???,？？？
???,,???,???,(?),???,？？？
Sweet Hearts,Chococœurs,Dolcicuori,Herzkonfekte,Corazones Dulces,하트스위트,ハートスイーツ
Adamant Orbs,Orbes Adamants,Adamasfere,Adamant-Orbs,Diamansferas,금강옥,こんごうだま
Lustrous Orbs,Orbes Perlés,Splendisfere,Weiß-Orbs,Lustresferas,백옥,しらたま
Greet Mail,Lettres Salut,Messaggi Inizio,Grußbriefe,Cartas Iniciales,첫메일,はじめてメール
Favored Mail,Lettres Fan,Messaggi TVB,Faiblebriefe,Cartas Favoritos,애호메일,だいすきメール
RSVP Mail,Lettres Invit,Messaggi Invito,Einladebriefe,Cartas Invitar,권유메일,おさそいメール
Thanks Mail,Lettres Merci,Messaggi Grazie,Dankesbriefe,Cartas Gracias,감사메일,かんしゃメール
Inquiry Mail,Lettres Demande,Messaggi Chiedi,Fragebriefe,Cartas Pregunta,질문메일,しつもんメール
Like Mail,Lettres Avis,Mess. Sugg.,Insiderbriefe,Cartas Gustos,추천메일,おすすめメール
Reply Mail,Lettres Réponse,Mess. Risp.,Rückbriefe,Cartas Respuesta,답장메일,おかえしメール
Bridge Mail S,Lettres Pont S,Mess. Frec.,Brückbriefe H,Cartas Puente S,브리지메일S,ブリッジメールＳ
Bridge Mail D,Lettres Pont Y,Mess. Libec.,Brückbriefe M,Cartas Puente F,브리지메일M,ブリッジメールＨ
Bridge Mail T,Lettres Pont F,Mess. Prop.,Brückbriefe Z,Cartas Puente A,브리지메일C,ブリッジメールＣ
Bridge Mail V,Lettres Pont H,Mess. Vill.,Brückbriefe D,Cartas Puente V,브리지메일V,ブリッジメールＶ
Bridge Mail M,Lettres Pont I,Mess. Merav.,Brückbriefe W,Cartas Puente P,브리지메일W,ブリッジメールＷ
Cheri Berries,Baies Ceriz,Baccaliegia,Amrenabeeren,Bayas Zreza,버치열매,クラボのみ
Chesto Berries,Baies Maron,Baccastagna,Maronbeeren,Bayas Atania,유루열매,カゴのみ
Pecha Berries,Baies Pêcha,Baccapesca,Pirsifbeeren,Bayas Meloc,복슝열매,モモンのみ
Rawst Berries,Baies Fraive,Baccafrago,Fragiabeeren,Bayas Safre,복분열매,チーゴのみ
Aspear Berries,Baies Willia,Baccaperina,Wilbirbeeren,Bayas Perasi,배리열매,ナナシのみ
Leppa Berries,Baies Mepo,Baccamela,Jonagobeeren,Bayas Zanama,과사열매,ヒメリのみ
Oran Berries,Baies Oran,Baccarancia,Sinelbeeren,Bayas Aranja,오랭열매,オレンのみ
Persim Berries,Baies Kika,Baccaki,Persimbeeren,Bayas Caquic,시몬열매,キーのみ
Lum Berries,Baies Prine,Baccaprugna,Prunusbeeren,Bayas Ziuela,리샘열매,ラムのみ
Sitrus Berries,Baies Sitrus,Baccacedro,Tsitrubeeren,Bayas Zidra,자뭉열매,オボンのみ
Figy Berries,Baies Figuy,Baccafico,Giefebeeren,Bayas Higog,무화열매,フィラのみ
Wiki Berries,Baies Wiki,Baccakiwi,Wikibeeren,Bayas Wiki,위키열매,ウイのみ
Mago Berries,Baies Mago,Baccamango,Magobeeren,Bayas Ango,마고열매,マゴのみ
Aguav Berries,Baies Gowav,Baccaguava,Gauvebeeren,Bayas Guaya,아바열매,バンジのみ
Iapapa Berries,Baies Papaya,Baccapaia,Yapabeeren,Bayas Pabaya,파야열매,イアのみ
Razz Berries,Baies Framby,Baccalampon,Himmihbeeren,Bayas Frambu,라즈열매,ズリのみ
Bluk Berries,Baies Remu,Baccamora,Morbbeeren,Bayas Oram,블리열매,ブリーのみ
Nanab Berries,Baies Nanab,Baccabana,Nanabbeeren,Bayas Latano,나나열매,ナナのみ
Wepear Berries,Baies Repoi,Baccapera,Nirbebeeren,Bayas Peragu,서배열매,セシナのみ
Pinap Berries,Baies Nanana,Baccananas,Sananabeeren,Bayas Pinia,파인열매,パイルのみ
Pomeg Berries,Baies Grena,Baccagrana,Granabeeren,Bayas Grana,유석열매,ザロクのみ
Kelpsy Berries,Baies Alga,Baccalga,Setangbeeren,Bayas Algama,시마열매,ネコブのみ
Qualot Berries,Baies Qualot,Baccaloquat,Qualotbeeren,Bayas Ispero,파비열매,タポルのみ
Hondew Berries,Baies Lonme,Baccamelon,Honmelbeeren,Bayas Meluce,로매열매,ロメのみ
Grepa Berries,Baies Résin,Baccauva,Labrusbeeren,Bayas Uvav,또뽀열매,ウブのみ
Tamato Berries,Baies Tamato,Baccamodoro,Tamotbeeren,Bayas Tamate,토망열매,マトマのみ
Cornn Berries,Baies Siam,Baccavena,Saimbeeren,Bayas Mais,수숙열매,モコシのみ
Magost Berries,Baies Mangou,Baccagostan,Magostbeeren,Bayas Aostan,고스티열매,ゴスのみ
Rabuta Berries,Baies Rabuta,Baccambutan,Rabutabeeren,Bayas Rautan,라부탐열매,ラブタのみ
Nomel Berries,Baies Tronci,Baccalemon,Tronzibeeren,Bayas Monli,노멜열매,ノメルのみ
Spelon Berries,Baies Kiwan,Baccamelos,Kiwanbeeren,Bayas Wikano,메호키열매,ノワキのみ
Pamtre Berries,Baies Palma,Baccapalma,Pallmbeeren,Bayas Plama,자야열매,シーヤのみ
Watmel Berries,Baies Stekpa,Baccacomero,Wasmelbeeren,Bayas Sambia,슈박열매,カイスのみ
Durin Berries,Baies Durin,Baccadurian,Durinbeeren,Bayas Rudion,두리열매,ドリのみ
Belue Berries,Baies Myrte,Baccartillo,Myrtilbeeren,Bayas Andano,루베열매,ベリブのみ
Occa Berries,Baies Chocco,Baccacao,Koakobeeren,Bayas Caoca,오카열매,オッカのみ
Passho Berries,Baies Pocpoc,Baccapasflo,Foepasbeeren,Bayas Pasio,꼬시개열매,イトケのみ
Wacan Berries,Baies Parma,Baccaparmen,Kerzalbeeren,Bayas Gualot,초나열매,ソクノのみ
Rindo Berries,Baies Ratam,Baccarindo,Grindobeeren,Bayas Tamar,린드열매,リンドのみ
Yache Berries,Baies Nanone,Baccamoya,Kiroyabeeren,Bayas Rimoya,플카열매,ヤチェのみ
Chople Berries,Baies Pomroz,Baccarosmel,Rospelbeeren,Bayas Pomaro,로플열매,ヨプのみ
Kebia Berries,Baies Kébia,Baccakebia,Grarzbeeren,Bayas Kebia,으름열매,ビアーのみ
Shuca Berries,Baies Jouca,Baccanaca,Schukebeeren,Bayas Acardo,슈캐열매,シュカのみ
Coba Berries,Baies Cobaba,Baccababa,Kobabeeren,Bayas Kouba,바코열매,バコウのみ
Payapa Berries,Baies Yapap,Baccapayapa,Pyapabeeren,Bayas Payapa,야파열매,ウタンのみ
Tanga Berries,Baies Panga,Baccaitan,Tanigabeeren,Bayas Yecana,리체열매,タンガのみ
Charti Berries,Baies Charti,Baccaciofo,Chiaribeeren,Bayas Alcho,루미열매,ヨロギのみ
Kasib Berries,Baies Sédra,Baccacitrus,Zitarzbeeren,Bayas Drasi,수불열매,カシブのみ
Haban Berries,Baies Fraigo,Baccahaban,Terirobeeren,Bayas Anjiro,하반열매,ハバンのみ
Colbur Berries,Baies Lampou,Baccaxan,Burleobeeren,Bayas Dillo,마코열매,ナモのみ
Babiri Berries,Baies Babiri,Baccababiri,Babiribeeren,Bayas Baribá,바리비열매,リリバのみ
Chilan Berries,Baies Zalis,Baccacinlan,Latchibeeren,Bayas Chilan,카리열매,ホズのみ
